,Downtimeccategory,Date,Downtime Duration,Planned Operating Time (min)
1950,Mag 1 Jam,2023-01-12 0:00,12,600
1951,Mag 2 Jam,2023-01-12 0:00,8,600
1952,ECS 2 Jam,2023-01-12 0:00,26,600
1953,Actual Tonnage Produced during shift (tons),2023-01-12 0:00,203.93,600
1954,/Planned Operating Time (min),2023-01-13 0:00,600,600
1955,Coffee Break #1 ,2023-01-13 0:00,20,600
1956,Coffee Break #2 ,2023-01-13 0:00,20,600
1957,Lunch Break ,2023-01-13 0:00,20,600
1958,5S / Routine Cleaning,2023-01-13 0:00,30,600
1959,Safety Training,2023-01-13 0:00,30,600
1960,Startup,2023-01-13 0:00,30,600
1961,Un-Shreddables,2023-01-13 0:00,16,600
1962,Shaker Jam,2023-01-13 0:00,6,600
1963,Mag 1 Jam,2023-01-13 0:00,3,600
1964,Mag 2 Jam,2023-01-13 0:00,18,600
1965,Dirt 1 Jam,2023-01-13 0:00,23,600
1966,Dirt 1 Pullcord2,2023-01-13 0:00,1,600
1967,Dirt 2 Pullcord3,2023-01-13 0:00,10,600
1968,Dirt 3 Jam,2023-01-13 0:00,4,600
1969,NFC 1 Tail,2023-01-13 0:00,24,600
1970,ECS 2 Jam,2023-01-13 0:00,3,600
1971,Mechanical Misc,2023-01-13 0:00,20,600
1972,Actual Tonnage Produced during shift (tons),2023-01-13 0:00,147.24,600
1973,/Planned Operating Time (min),2023-01-14 0:00,480,480
1974,Coffee Break #1 ,2023-01-14 0:00,15,480
1975,Coffee Break #2 ,2023-01-14 0:00,15,480
1976,Lunch Break ,2023-01-14 0:00,15,480
1977,5S / Routine Cleaning,2023-01-14 0:00,30,480
1978,Startup,2023-01-14 0:00,39,480
1979,Un-Shreddables,2023-01-14 0:00,13,480
1980,Mag 1 Jam,2023-01-14 0:00,32,480
1981,Mag 2 Jam,2023-01-14 0:00,24,480
1982,Stacker Belt Jam,2023-01-14 0:00,10,480
1983,Actual Tonnage Produced during shift (tons),2023-01-14 0:00,172.48,480
1984,/Planned Operating Time (min),2023-01-16 0:00,600,600
1985,Coffee Break #1 ,2023-01-16 0:00,20,600
1986,Coffee Break #2 ,2023-01-16 0:00,20,600
1987,5S / Routine Cleaning,2023-01-16 0:00,30,600
1988,Safety Training,2023-01-16 0:00,30,600
1989,Startup,2023-01-16 0:00,30,600
1990,Hammer Flip,2023-01-16 0:00,70,600
1991,Infeed Jam,2023-01-16 0:00,10,600
1992,Mag 2 Jam,2023-01-16 0:00,5,600
1993,Mag 3 Jam,2023-01-16 0:00,16,600
1994,West Conveyor,2023-01-16 0:00,10,600
1995,NFC 1 Jam,2023-01-16 0:00,22,600
1996,ECS 1 Jam ,2023-01-16 0:00,60,600
1997,Actual Tonnage Produced during shift (tons),2023-01-16 0:00,189.1,600
1998,/Planned Operating Time (min),2023-01-17 0:00,600,600
1999,5S / Routine Cleaning,2023-01-17 0:00,30,600
2000,Safety Training,2023-01-17 0:00,45,600
2001,Startup,2023-01-17 0:00,30,600
2002,Un-Shreddables,2023-01-17 0:00,21,600
2003,Mag 1 Jam,2023-01-17 0:00,5,600
2004,Mag 2 Jam,2023-01-17 0:00,11,600
2005,Dirt 1 Jam,2023-01-17 0:00,3,600
2006,West Conveyor,2023-01-17 0:00,54,600
2007,Stacker Belt Jam,2023-01-17 0:00,22,600
2008,ECS 1 Jam ,2023-01-17 0:00,5,600
2009,Actual Tonnage Produced during shift (tons),2023-01-17 0:00,236.83,600
2010,/Planned Operating Time (min),2023-01-18 0:00,600,600
2011,5S / Routine Cleaning,2023-01-18 0:00,30,600
2012,Safety Training,2023-01-18 0:00,30,600
2013,Startup,2023-01-18 0:00,30,600
2014,Un-Shreddables,2023-01-18 0:00,31,600
2015,Z Box Jam,2023-01-18 0:00,20,600
2016,Mag 1 Jam,2023-01-18 0:00,5,600
2017,Mag 2 Jam,2023-01-18 0:00,10,600
2018,Mag 3 Jam,2023-01-18 0:00,4,600
2019,NFC 1 Jam,2023-01-18 0:00,9,600
2020,Actual Tonnage Produced during shift (tons),2023-01-18 0:00,318.57,600
2021,/Planned Operating Time (min),2023-01-19 0:00,600,600
2022,5S / Routine Cleaning,2023-01-19 0:00,30,600
2023,Safety Training,2023-01-19 0:00,30,600
2024,Startup,2023-01-19 0:00,30,600
2025,Fires,2023-01-19 0:00,10,600
2026,Un-Shreddables,2023-01-19 0:00,23,600
2027,Infeed Jam,2023-01-19 0:00,35,600
2028,Mag 1 Jam,2023-01-19 0:00,3,600
2029,Mag 2 Jam,2023-01-19 0:00,2,600
2030,Primary Conveyor,2023-01-19 0:00,2,600
2031,Primary Pullcord,2023-01-19 0:00,6,600
2032,West Conveyor,2023-01-19 0:00,10,600
2033,Actual Tonnage Produced during shift (tons),2023-01-19 0:00,300,600
2034,/Planned Operating Time (min),2023-01-20 0:00,600,600
2035,Coffee Break #1 ,2023-01-20 0:00,20,600
2036,Coffee Break #2 ,2023-01-20 0:00,20,600
2037,Lunch Break ,2023-01-20 0:00,20,600
2038,5S / Routine Cleaning,2023-01-20 0:00,30,600
2039,Safety Training,2023-01-20 0:00,30,600
2040,Startup,2023-01-20 0:00,30,600
2041,Cyclone 2,2023-01-20 0:00,40,600
2042,Mag 1 Jam,2023-01-20 0:00,4,600
2043,Mag 2 Jam,2023-01-20 0:00,8,600
2044,Mag 3 Jam,2023-01-20 0:00,9,600
2045,Dirt 1 Jam,2023-01-20 0:00,1,600
2046,ECS 2 Shaker Belt ,2023-01-20 0:00,13,600
2047,Actual Tonnage Produced during shift (tons),2023-01-20 0:00,239.96,600
2048,/Planned Operating Time (min),2023-01-21 0:00,480,480
2049,Coffee Break #1 ,2023-01-21 0:00,15,480
2050,Coffee Break #2 ,2023-01-21 0:00,15,480
2051,Lunch Break ,2023-01-21 0:00,15,480
2052,5S / Routine Cleaning,2023-01-21 0:00,30,480
2053,Startup,2023-01-21 0:00,30,480
2054,Shaker Jam,2023-01-21 0:00,6,480
2055,Mag 1 Electric,2023-01-21 0:00,4,480
2056,Mag 2 Jam,2023-01-21 0:00,7,480
2057,Mag 3 Jam,2023-01-21 0:00,3,480
2058,Dirt 1 Jam,2023-01-21 0:00,16,480
2059,Actual Tonnage Produced during shift (tons),2023-01-21 0:00,233.86,480
2060,/Planned Operating Time (min),2023-01-23 0:00,600,600
2061,Lunch Break ,2023-01-23 0:00,15,600
2062,Safety Training,2023-01-23 0:00,30,600
2063,Startup,2023-01-23 0:00,30,600
2064,Mag 1 Jam,2023-01-23 0:00,2,600
2065,Mag 2 Jam,2023-01-23 0:00,9,600
2066,Mag 2 Belt,2023-01-23 0:00,3,600
2067,Mechanical Misc,2023-01-23 0:00,330,600
2068,Actual Tonnage Produced during shift (tons),2023-01-23 0:00,67.78,600
2069,/Planned Operating Time (min),2023-01-24 0:00,600,600
2070,5S / Routine Cleaning,2023-01-24 0:00,25,600
2071,Safety Training,2023-01-24 0:00,30,600
2072,Startup,2023-01-24 0:00,30,600
2073,Un-Shreddables,2023-01-24 0:00,19,600
2074,Shaker Jam,2023-01-24 0:00,68,600
2075,Mag 1 Jam,2023-01-24 0:00,19,600
2076,Mag 2 Jam,2023-01-24 0:00,12,600
2077,Mag 3 Jam,2023-01-24 0:00,23,600
2078,Dirt 1 Jam,2023-01-24 0:00,31,600
2079,Actual Tonnage Produced during shift (tons),2023-01-24 0:00,180.3,600
2080,/Planned Operating Time (min),2023-01-25 0:00,600,600
2081,Coffee Break #1 ,2023-01-25 0:00,15,600
2082,5S / Routine Cleaning,2023-01-25 0:00,30,600
2083,Safety Training,2023-01-25 0:00,30,600
2084,Startup,2023-01-25 0:00,30,600
2085,Routine Hammer Change,2023-01-25 0:00,90,600
2086,Un-Shreddables,2023-01-25 0:00,31,600
2087,Feed roll Tripped,2023-01-25 0:00,15,600
2088,Mag 2 Jam,2023-01-25 0:00,40,600
2089,Mag 3 Jam,2023-01-25 0:00,2,600
2090,NFC 1 Jam,2023-01-25 0:00,6,600
2091,Actual Tonnage Produced during shift (tons),2023-01-25 0:00,194.93,600
2092,/Planned Operating Time (min),2023-01-26 0:00,600,600
2093,Lunch Break ,2023-01-26 0:00,30,600
2094,5S / Routine Cleaning,2023-01-26 0:00,30,600
2095,Safety Training,2023-01-26 0:00,30,600
2096,Startup,2023-01-26 0:00,30,600
2097,Waiting on Excavator,2023-01-26 0:00,18,600
2098,Un-Shreddables,2023-01-26 0:00,29,600
2099,Infeed Pads,2023-01-26 0:00,13,600
2100,Mill Jam,2023-01-26 0:00,45,600
2101,Shaker Jam,2023-01-26 0:00,20,600
2102,Mag 2 Belt,2023-01-26 0:00,7,600
2103,Mag 3 Jam,2023-01-26 0:00,7,600
2104,Actual Tonnage Produced during shift (tons),2023-01-26 0:00,173.24,600
2105,/Planned Operating Time (min),2023-01-27 0:00,600,600
2106,Lunch Break ,2023-01-27 0:00,30,600
2107,5S / Routine Cleaning,2023-01-27 0:00,30,600
2108,Safety Training,2023-01-27 0:00,30,600
2109,Startup,2023-01-27 0:00,30,600
2110,Un-Shreddables,2023-01-27 0:00,17,600
2111,Shaker Jam,2023-01-27 0:00,14,600
2112,Mag 1 Jam,2023-01-27 0:00,3,600
2113,Mag 2 Jam,2023-01-27 0:00,12,600
2114,Mag 3 Jam,2023-01-27 0:00,20,600
2115,West Conveyor,2023-01-27 0:00,10,600
2116,NFC 1 Tail,2023-01-27 0:00,10,600
2117,NFC 2 Jam,2023-01-27 0:00,34,600
2118,Actual Tonnage Produced during shift (tons),2023-01-27 0:00,260.93,600
2119,Actual Tonnage Produced during shift (tons),2023-01-28 0:00,0,
2120,Actual Tonnage Produced during shift (tons),2023-01-29 0:00,0,
2121,/Planned Operating Time (min),2023-01-30 0:00,600,600
2122,Coffee Break #1 ,2023-01-30 0:00,15,600
2123,Coffee Break #2 ,2023-01-30 0:00,15,600
2124,Lunch Break ,2023-01-30 0:00,30,600
2125,Safety Training,2023-01-30 0:00,30,600
2126,Startup,2023-01-30 0:00,30,600
2127,Un-Controlled Power Failure *1,2023-01-30 0:00,480,600
2128,Electrical Misc,2023-01-30 0:00,0,600
2129,Actual Tonnage Produced during shift (tons),2023-01-30 0:00,0,600
2130,/Planned Operating Time (min),2023-01-31 0:00,600,600
2131,Lunch Break ,2023-01-31 0:00,30,600
2132,5S / Routine Cleaning,2023-01-31 0:00,25,600
2133,Safety Training,2023-01-31 0:00,30,600
2134,Startup,2023-01-31 0:00,10,600
2135,Infeed Hydraulics,2023-01-31 0:00,60,600
2136,Mag 1 Jam,2023-01-31 0:00,2,600
2137,Mag 2 Jam,2023-01-31 0:00,5,600
2138,Dirt 1 Conveyor,2023-01-31 0:00,120,600
2139,Primary Conveyor,2023-01-31 0:00,5,600
2140,Stacker Belt Jam,2023-01-31 0:00,16,600
2141,Electrical Misc,2023-01-31 0:00,20,600
2142,Actual Tonnage Produced during shift (tons),2023-01-31 0:00,199.19,600
2143,/Planned Operating Time (min),2023-03-01 0:00,600,600
2144,Coffee Break #1 ,2023-03-01 0:00,15,600
2145,Coffee Break #2 ,2023-03-01 0:00,15,600
2146,Lunch Break ,2023-03-01 0:00,30,600
2147,5S / Routine Cleaning,2023-03-01 0:00,30,600
2148,Safety Training,2023-03-01 0:00,30,600
2149,Startup,2023-03-01 0:00,27,600
2150,Un-Shreddables,2023-03-01 0:00,10,600
2151,Shaker Jam,2023-03-01 0:00,9,600
2152,Mag 1 Jam,2023-03-01 0:00,30,600
2153,Mag 2 Electric,2023-03-01 0:00,30,600
2154,Mag 3 Jam,2023-03-01 0:00,15,600
2155,Actual Tonnage Produced during shift (tons),2023-03-01 0:00,257.04,600
2156,/Planned Operating Time (min),2023-03-02 0:00,600,600
2157,Coffee Break #1 ,2023-03-02 0:00,15,600
2158,Coffee Break #2 ,2023-03-02 0:00,15,600
2159,Lunch Break ,2023-03-02 0:00,30,600
2160,5S / Routine Cleaning,2023-03-02 0:00,30,600
2161,Safety Training,2023-03-02 0:00,30,600
2162,Startup,2023-03-02 0:00,30,600
2163,Hammer Flip,2023-03-02 0:00,100,600
2164,Un-Shreddables,2023-03-02 0:00,19,600
2165,Shaker Jam,2023-03-02 0:00,6,600
2166,Mag 1 Jam,2023-03-02 0:00,3,600
2167,Mag 2 Electric,2023-03-02 0:00,9,600
2168,Mag 3 Jam,2023-03-02 0:00,13,600
2169,Actual Tonnage Produced during shift (tons),2023-03-02 0:00,216.28,600
2170,/Planned Operating Time (min),2023-03-03 0:00,600,600
2171,Coffee Break #1 ,2023-03-03 0:00,15,600
2172,Lunch Break ,2023-03-03 0:00,30,600
2173,5S / Routine Cleaning,2023-03-03 0:00,28,600
2174,Safety Training,2023-03-03 0:00,20,600
2175,Startup,2023-03-03 0:00,20,600
2176,Un-Shreddables,2023-03-03 0:00,4,600
2177,Mag 2 Jam,2023-03-03 0:00,7,600
2178,Mag 3 Jam,2023-03-03 0:00,4,600
2179,Primary Conveyor,2023-03-03 0:00,14,600
2180,ECS 1 Jam ,2023-03-03 0:00,11,600
2181,Actual Tonnage Produced during shift (tons),2023-03-03 0:00,324.5,600
2182,/Planned Operating Time (min),2023-03-06 0:00,600,600
2183,Coffee Break #1 ,2023-03-06 0:00,15,600
2184,Coffee Break #2 ,2023-03-06 0:00,15,600
2185,Lunch Break ,2023-03-06 0:00,30,600
2186,5S / Routine Cleaning,2023-03-06 0:00,25,600
2187,Safety Training,2023-03-06 0:00,5,600
2188,Startup,2023-03-06 0:00,20,600
2189,Un-Shreddables,2023-03-06 0:00,5,600
2190,Mag 1 Jam,2023-03-06 0:00,12,600
2191,Mag 2 Jam,2023-03-06 0:00,15,600
2192,Mag 3 Jam,2023-03-06 0:00,7,600
2193,Primary Pullcord,2023-03-06 0:00,34,600
2194,Actual Tonnage Produced during shift (tons),2023-03-06 0:00,250,600
2195,/Planned Operating Time (min),2023-03-07 0:00,600,600
2196,Coffee Break #1 ,2023-03-07 0:00,15,600
2197,Coffee Break #2 ,2023-03-07 0:00,15,600
2198,5S / Routine Cleaning,2023-03-07 0:00,10,600
2199,Safety Training,2023-03-07 0:00,15,600
2200,Startup,2023-03-07 0:00,15,600
2201,Un-Shreddables,2023-03-07 0:00,8,600
2202,Machine Misc,2023-03-07 0:00,128,600
2203,Mag 1 Jam,2023-03-07 0:00,1,600
2204,Mag 2 Jam,2023-03-07 0:00,7,600
2205,Mag 2 Belt,2023-03-07 0:00,10,600
2206,Mag 3 Jam,2023-03-07 0:00,13,600
2207,Actual Tonnage Produced during shift (tons),2023-03-07 0:00,200,600
2208,/Planned Operating Time (min),2023-03-08 0:00,600,600
2209,Coffee Break #1 ,2023-03-08 0:00,15,600
2210,Coffee Break #2 ,2023-03-08 0:00,15,600
2211,5S / Routine Cleaning,2023-03-08 0:00,10,600
2212,Safety Training,2023-03-08 0:00,30,600
2213,Startup,2023-03-08 0:00,15,600
2214,Un-Shreddables,2023-03-08 0:00,4,600
2215,Machine Misc,2023-03-08 0:00,190,600
2216,Mag 2 Electric,2023-03-08 0:00,6,600
2217,Mag 3 Jam,2023-03-08 0:00,16,600
2218,Trommel,2023-03-08 0:00,18,600
2219,Actual Tonnage Produced during shift (tons),2023-03-08 0:00,217.27,600
2220,/Planned Operating Time (min),2023-03-09 0:00,600,600
2221,Coffee Break #1 ,2023-03-09 0:00,15,600
2222,Coffee Break #2 ,2023-03-09 0:00,15,600
2223,5S / Routine Cleaning,2023-03-09 0:00,30,600
2224,Safety Training,2023-03-09 0:00,30,600
2225,Startup,2023-03-09 0:00,24,600
2226,Un-Shreddables,2023-03-09 0:00,8,600
2227,Feed roll Tripped,2023-03-09 0:00,12,600
2228,Mag 2 Jam,2023-03-09 0:00,24,600
2229,Mag 3 Jam,2023-03-09 0:00,7,600
2230,Actual Tonnage Produced during shift (tons),2023-03-09 0:00,296.86,600
2231,/Planned Operating Time (min),2023-03-10 0:00,600,600
2232,Coffee Break #1 ,2023-03-10 0:00,15,600
2233,Coffee Break #2 ,2023-03-10 0:00,15,600
2234,Lunch Break ,2023-03-10 0:00,30,600
2235,5S / Routine Cleaning,2023-03-10 0:00,30,600
2236,Safety Training,2023-03-10 0:00,30,600
2237,Startup,2023-03-10 0:00,17,600
2238,Waiting on Excavator,2023-03-10 0:00,22,600
2239,Hammer Flip,2023-03-10 0:00,90,600
2240,Un-Shreddables,2023-03-10 0:00,11,600
2241,Mag 2 Jam,2023-03-10 0:00,39,600
2242,Mag 3 Jam,2023-03-10 0:00,11,600
2243,Actual Tonnage Produced during shift (tons),2023-03-10 0:00,180.4,600
2244,/Planned Operating Time (min),2023-03-13 0:00,600,600
2245,Coffee Break #1 ,2023-03-13 0:00,15,600
2246,Coffee Break #2 ,2023-03-13 0:00,15,600
2247,Lunch Break ,2023-03-13 0:00,30,600
2248,5S / Routine Cleaning,2023-03-13 0:00,30,600
2249,Safety Training,2023-03-13 0:00,30,600
2250,Startup,2023-03-13 0:00,10,600
2251,Waiting on Excavator,2023-03-13 0:00,43,600
2252,Explosion,2023-03-13 0:00,6,600
2253,Shaker Jam,2023-03-13 0:00,4,600
2254,Mag 1 Jam,2023-03-13 0:00,5,600
2255,Mag 2 Jam,2023-03-13 0:00,6,600
2256,Mag 3 Jam,2023-03-13 0:00,10,600
2257,Actual Tonnage Produced during shift (tons),2023-03-13 0:00,358.47,600
2258,/Planned Operating Time (min),2023-03-14 0:00,600,600
2259,Coffee Break #1 ,2023-03-14 0:00,10,600
2260,Coffee Break #2 ,2023-03-14 0:00,15,600
2261,Lunch Break ,2023-03-14 0:00,30,600
2262,5S / Routine Cleaning,2023-03-14 0:00,30,600
2263,Safety Training,2023-03-14 0:00,30,600
2264,Startup,2023-03-14 0:00,13,600
2265,Un-Shreddables,2023-03-14 0:00,17,600
2266,Mag 2 Jam,2023-03-14 0:00,8,600
2267,Mag 3 Jam,2023-03-14 0:00,5,600
2268,Actual Tonnage Produced during shift (tons),2023-03-14 0:00,410,600
2269,/Planned Operating Time (min),2023-03-15 0:00,600,600
2270,Coffee Break #1 ,2023-03-15 0:00,15,600
2271,Coffee Break #2 ,2023-03-15 0:00,15,600
2272,Lunch Break ,2023-03-15 0:00,30,600
2273,5S / Routine Cleaning,2023-03-15 0:00,28,600
2274,Safety Training,2023-03-15 0:00,30,600
2275,Startup,2023-03-15 0:00,15,600
2276,Explosion,2023-03-15 0:00,2,600
2277,Short Staff,2023-03-15 0:00,15,600
2278,Shaker Jam,2023-03-15 0:00,6,600
2279,Mag 2 Jam,2023-03-15 0:00,24,600
2280,West Conveyor,2023-03-15 0:00,5,600
2281,Actual Tonnage Produced during shift (tons),2023-03-15 0:00,319.49,600
2282,/Planned Operating Time (min),2023-03-16 0:00,600,600
2283,Coffee Break #1 ,2023-03-16 0:00,15,600
2284,Coffee Break #2 ,2023-03-16 0:00,15,600
2285,Lunch Break ,2023-03-16 0:00,30,600
2286,5S / Routine Cleaning,2023-03-16 0:00,30,600
2287,Safety Training,2023-03-16 0:00,30,600
2288,Startup,2023-03-16 0:00,15,600
2289,Waiting on Excavator,2023-03-16 0:00,24,600
2290,Explosion,2023-03-16 0:00,2,600
2291,Mill Jam,2023-03-16 0:00,20,600
2292,Mag 3 Electric,2023-03-16 0:00,3,600
2293,Primary Head,2023-03-16 0:00,20,600
2294,Actual Tonnage Produced during shift (tons),2023-03-16 0:00,357.27,600
2295,/Planned Operating Time (min),2023-03-17 0:00,600,600
2296,Coffee Break #1 ,2023-03-17 0:00,15,600
2297,Coffee Break #2 ,2023-03-17 0:00,15,600
2298,Lunch Break ,2023-03-17 0:00,30,600
2299,5S / Routine Cleaning,2023-03-17 0:00,30,600
2300,Safety Training,2023-03-17 0:00,30,600
2301,Startup,2023-03-17 0:00,15,600
2302,Routine Hammer Change,2023-03-17 0:00,105,600
2303,Un-Shreddables,2023-03-17 0:00,10,600
2304,Short Staff,2023-03-17 0:00,50,600
2305,Mag 2 Jam,2023-03-17 0:00,13,600
2306,Mag 3 Jam,2023-03-17 0:00,28,600
2307,Actual Tonnage Produced during shift (tons),2023-03-17 0:00,221.17,600
2308,/Planned Operating Time (min),2023-03-18 0:00,480,480
2309,Coffee Break #1 ,2023-03-18 0:00,15,480
2310,Lunch Break ,2023-03-18 0:00,30,480
2311,5S / Routine Cleaning,2023-03-18 0:00,24,480
2312,Safety Training,2023-03-18 0:00,30,480
2313,Startup,2023-03-18 0:00,32,480
2314,DC Cooldown,2023-03-18 0:00,9,480
2315,Mag 2 Jam,2023-03-18 0:00,4,480
2316,Stacker Belt Jam,2023-03-18 0:00,32,480
2317,Actual Tonnage Produced during shift (tons),2023-03-18 0:00,251.77,480
2318,/Planned Operating Time (min),2023-03-20 0:00,600,600
2319,Coffee Break #1 ,2023-03-20 0:00,15,600
2320,Coffee Break #2 ,2023-03-20 0:00,15,600
2321,Lunch Break ,2023-03-20 0:00,30,600
2322,5S / Routine Cleaning,2023-03-20 0:00,30,600
2323,Safety Training,2023-03-20 0:00,20,600
2324,Startup,2023-03-20 0:00,15,600
2325,Explosion,2023-03-20 0:00,2,600
2326,Infeed Pads,2023-03-20 0:00,40,600
2327,Mag 2 Jam,2023-03-20 0:00,13,600
2328,Mag 2 Electric,2023-03-20 0:00,14,600
2329,Mag 3 Jam,2023-03-20 0:00,31,600
2330,Actual Tonnage Produced during shift (tons),2023-03-20 0:00,344.93,600
2331,/Planned Operating Time (min),2023-03-21 0:00,600,600
2332,Coffee Break #1 ,2023-03-21 0:00,15,600
2333,Coffee Break #2 ,2023-03-21 0:00,15,600
2334,Lunch Break ,2023-03-21 0:00,30,600
2335,5S / Routine Cleaning,2023-03-21 0:00,30,600
2336,Safety Training,2023-03-21 0:00,15,600
2337,Startup,2023-03-21 0:00,15,600
2338,Explosion,2023-03-21 0:00,3,600
2339,Un-Shreddables,2023-03-21 0:00,5,600
2340,Feed roll Tripped,2023-03-21 0:00,7,600
2341,Mill Jam,2023-03-21 0:00,16,600
2342,Z Box Jam,2023-03-21 0:00,4,600
2343,Mag 1 Jam,2023-03-21 0:00,7,600
2344,Mag 2 Jam,2023-03-21 0:00,18,600
2345,Mag 2 Electric,2023-03-21 0:00,2,600
2346,Mag 3 Jam,2023-03-21 0:00,1,600
2347,Dirt 3 Jam,2023-03-21 0:00,8,600
2348,Actual Tonnage Produced during shift (tons),2023-03-21 0:00,329.96,600
2349,/Planned Operating Time (min),2023-03-22 0:00,600,600
2350,Coffee Break #1 ,2023-03-22 0:00,15,600
2351,Coffee Break #2 ,2023-03-22 0:00,15,600
2352,Lunch Break ,2023-03-22 0:00,30,600
2353,5S / Routine Cleaning,2023-03-22 0:00,9,600
2354,Safety Training,2023-03-22 0:00,20,600
2355,Startup,2023-03-22 0:00,24,600
2356,Waiting on Excavator,2023-03-22 0:00,4,600
2357,Explosion,2023-03-22 0:00,6,600
2358,Un-Shreddables,2023-03-22 0:00,4,600
2359,Infeed Pads,2023-03-22 0:00,41,600
2360,Feed roll Tripped,2023-03-22 0:00,42,600
2361,Shaker Jam,2023-03-22 0:00,9,600
2362,Mag 2 Jam,2023-03-22 0:00,5,600
2363,Mag 2 Electric,2023-03-22 0:00,31,600
2364,Mag 3 Jam,2023-03-22 0:00,7,600
2365,Actual Tonnage Produced during shift (tons),2023-03-22 0:00,306.93,600
2366,/Planned Operating Time (min),2023-03-23 0:00,600,600
2367,Coffee Break #1 ,2023-03-23 0:00,15,600
2368,Coffee Break #2 ,2023-03-23 0:00,15,600
2369,Lunch Break ,2023-03-23 0:00,30,600
2370,Safety Training,2023-03-23 0:00,20,600
2371,Startup,2023-03-23 0:00,20,600
2372,Waiting on Excavator,2023-03-23 0:00,23,600
2373,Mill Jam,2023-03-23 0:00,410,600
2374,Mag 3 Jam,2023-03-23 0:00,2,600
2375,Actual Tonnage Produced during shift (tons),2023-03-23 0:00,46.71,600
2376,/Planned Operating Time (min),2023-03-24 0:00,600,600
2377,Mill Jam,2023-03-24 0:00,600,600
2378,Actual Tonnage Produced during shift (tons),2023-03-24 0:00,0,600
2379,/Planned Operating Time (min),2023-03-27 0:00,600,600
2380,Coffee Break #1 ,2023-03-27 0:00,15,600
2381,Coffee Break #2 ,2023-03-27 0:00,15,600
2382,Lunch Break ,2023-03-27 0:00,30,600
2383,5S / Routine Cleaning,2023-03-27 0:00,30,600
2384,Safety Training,2023-03-27 0:00,20,600
2385,Startup,2023-03-27 0:00,20,600
2386,Hammer Flip,2023-03-27 0:00,150,600
2387,Mag 2 Electric,2023-03-27 0:00,3,600
2388,Mag 3 Jam,2023-03-27 0:00,1,600
2389,Actual Tonnage Produced during shift (tons),2023-03-27 0:00,224.35,600
2390,/Planned Operating Time (min),2023-03-28 0:00,600,600
2391,Coffee Break #1 ,2023-03-28 0:00,15,600
2392,Coffee Break #2 ,2023-03-28 0:00,15,600
2393,Lunch Break ,2023-03-28 0:00,30,600
2394,Safety Training,2023-03-28 0:00,20,600
2395,Startup,2023-03-28 0:00,34,600
2396,Fires,2023-03-28 0:00,12,600
2397,Mag 1 Electric,2023-03-28 0:00,2,600
2398,Mag 2 Jam,2023-03-28 0:00,1,600
2399,Mag 2 Electric,2023-03-28 0:00,27,600
2400,Mag 3 Jam,2023-03-28 0:00,2,600
2401,Dirt 1 Jam,2023-03-28 0:00,15,600
2402,Primary Conveyor,2023-03-28 0:00,40,600
2403,Actual Tonnage Produced during shift (tons),2023-03-28 0:00,351.62,600
2404,/Planned Operating Time (min),2023-03-29 0:00,600,600
2405,Coffee Break #1 ,2023-03-29 0:00,15,600
2406,Coffee Break #2 ,2023-03-29 0:00,15,600
2407,Lunch Break ,2023-03-29 0:00,30,600
2408,5S / Routine Cleaning,2023-03-29 0:00,30,600
2409,Safety Training,2023-03-29 0:00,15,600
2410,Startup,2023-03-29 0:00,19,600
2411,Mag 1 Electric,2023-03-29 0:00,3,600
2412,Mag 2 Electric,2023-03-29 0:00,28,600
2413,Primary Conveyor,2023-03-29 0:00,53,600
2414,East Conveyor,2023-03-29 0:00,34,600
2415,Actual Tonnage Produced during shift (tons),2023-03-29 0:00,362.37,600
2416,/Planned Operating Time (min),2023-03-30 0:00,600,600
2417,Coffee Break #1 ,2023-03-30 0:00,15,600
2418,Coffee Break #2 ,2023-03-30 0:00,15,600
2419,Lunch Break ,2023-03-30 0:00,30,600
2420,5S / Routine Cleaning,2023-03-30 0:00,20,600
2421,Safety Training,2023-03-30 0:00,20,600
2422,Startup,2023-03-30 0:00,20,600
2423,Waiting on Excavator,2023-03-30 0:00,4,600
2424,Fires,2023-03-30 0:00,30,600
2425,Mag 1 Electric,2023-03-30 0:00,41,600
2426,Mag 2 Electric,2023-03-30 0:00,33,600
2427,Mag 3 Electric,2023-03-30 0:00,8,600
2428,Actual Tonnage Produced during shift (tons),2023-03-30 0:00,314.16,600
2429,/Planned Operating Time (min),2023-03-31 0:00,600,600
2430,Coffee Break #1 ,2023-03-31 0:00,15,600
2431,Coffee Break #2 ,2023-03-31 0:00,15,600
2432,Lunch Break ,2023-03-31 0:00,30,600
2433,5S / Routine Cleaning,2023-03-31 0:00,30,600
2434,Safety Training,2023-03-31 0:00,25,600
2435,Startup,2023-03-31 0:00,20,600
2436,Fires,2023-03-31 0:00,30,600
2437,Shaker Jam,2023-03-31 0:00,4,600
2438,Mag 2 Electric,2023-03-31 0:00,40,600
2439,Mag 3 Jam,2023-03-31 0:00,7,600
2440,East Conveyor,2023-03-31 0:00,15,600
2441,Actual Tonnage Produced during shift (tons),2023-03-31 0:00,300,600
2442,/Planned Operating Time (min),2023-04-01 0:00,480,480
2443,Coffee Break #1 ,2023-04-01 0:00,15,480
2444,Lunch Break ,2023-04-01 0:00,30,480
2445,Startup,2023-04-01 0:00,20,480
2446,Fires,2023-04-01 0:00,5,480
2447,Infeed Jam,2023-04-01 0:00,27,480
